store,cluster,x_train,y_train,x_val,y_val
1013,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
923,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
584,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
830,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
927,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
202,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
557,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
166,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
473,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
743,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
237,0,"(723, 7, 27)","(723,)","(176, 7, 27)","(176,)"
